MLBAMID,Name,Bats,Throws,Position,DOB_Month,DOB_Day,DOB_Year,MLB org.,FG_30,FG_FV,MLB_30,MLB_FV,FG100,MLB100
666155,Charles King,R,R,P,1,6,1998,Philadelphia Phillies,,,,,,
666301,Indigo Diaz,R,R,P,10,14,1998,New York Yankees,,,,,,
666386,Archer Brookman,R,R,C,1,8,1999,Detroit Tigers,,,,,,
666659,Sauryn Lao,R,R,P,8,14,1999,Los Angeles Dodgers,37,35,,,,
666661,Juan Morillo,R,R,P,3,19,1999,Los Angeles Dodgers,54,37,,,,
666711,Joel Peguero,R,R,P,5,5,1997,Detroit Tigers,62,35,,,,
666748,Mitch Neunborn,R,R,P,6,27,1997,Philadelphia Phillies,,,,,,
666768,Anderson Pilar,R,R,P,3,2,1998,Miami Marlins,72,35,,,,
666785,Harold Chirino,R,R,P,1,12,1998,Milwaukee Brewers,39,35,,,,
667240,Jason Matthews,R,R,SS,4,9,1997,Chicago White Sox,,,,,,
667478,Evan Kravetz,L,L,P,12,19,1996,Cincinnati Reds,,,,,,
667652,Jack Ralston,R,R,P,8,13,1997,St. Louis Cardinals,,,,,,
667663,Hunter Stovall,R,R,2B,9,5,1996,Colorado Rockies,,,,,,
667690,C.J. Stubbs,R,R,C,11,12,1996,Washington Nationals,,,,,,
667725,Kyle Tyler,R,R,P,12,27,1996,Philadelphia Phillies,,,,,,
667744,Wesley Moore,L,L,P,9,5,1999,Philadelphia Phillies,43,35,,,,
667803,Ernesto Martinez Jr.,L,L,1B,6,20,1999,Milwaukee Brewers,19,42,,,,
668707,Marlin Willis,L,L,P,6,5,1998,Kansas City Royals,,,,,,
668719,Kenyon Yovan,R,R,P,12,28,1997,Los Angeles Angels,53,35,,,,
668752,Duke Ellis,L,L,CF,1,16,1998,Seattle Mariners,,,,,,
668791,Anthony Prato,R,R,SS,5,11,1998,Minnesota Twins,,,,,,
668831,Garrett Stallings,R,R,P,8,8,1997,Milwaukee Brewers,,,,,,
668876,Zach Humphreys,R,R,C,10,9,1997,Los Angeles Angels,,,,,,
668954,Curtis Taylor,R,R,P,7,25,1995,St. Louis Cardinals,,,,,,
668970,Gavin Hollowell,R,R,P,11,4,1997,Chicago Cubs,,,,,,
668984,Casey Legumina,R,R,P,6,19,1997,Cincinnati Reds,,,,,,
668998,Trey Benton,R,R,P,6,18,1998,Cleveland Guardians,,,,,,
669081,Jack Dashwood,L,L,P,11,17,1997,Los Angeles Angels,43,37,,,,
669188,Logan Boyer,R,R,P,1,24,1998,Los Angeles Dodgers,,,,,,
669192,Wil Jensen,R,R,P,9,2,1997,San Francisco Giants,,,,,,
669193,Jack Little,L,R,P,1,10,1998,Los Angeles Dodgers,,,,,,
669199,Lake Bachar,R,R,P,6,3,1995,San Diego Padres,,,,,,
669200,Mason McCoy,R,R,2B,3,31,1995,San Diego Padres,,,,,,
669233,Tony Bullard,R,R,3B,2,17,2000,Miami Marlins,,,,,,
669283,Drew Parrish,L,L,P,12,8,1997,Atlanta Braves,,,,,,
669285,Dan Hammer,R,R,P,9,10,1997,Baltimore Orioles,,,,,,
669298,TJ Shook,R,R,P,5,29,1998,Milwaukee Brewers,,,,,,
669326,Bryce Teodosio,R,L,CF,6,18,1999,Los Angeles Angels,,,,,,
669343,Julian Bosnic,L,L,P,12,28,1999,Pittsburgh Pirates,,,,,,
669369,Bryce Johnson,S,R,CF,10,27,1995,San Diego Padres,,,,,,
669413,Frainyer Chavez,S,R,2B,5,24,1999,Texas Rangers,,,,,,
669419,Michael Hobbs,R,R,P,7,10,1999,Los Angeles Dodgers,37,35,,,,
669439,Drew Swift,R,R,SS,2,15,1999,Athletics,,,,,,
669449,Jake Palisch,L,L,P,8,19,1998,Chicago White Sox,,,,,,
669652,Haden Erbe,R,R,P,8,13,1998,Tampa Bay Rays,67,35,,,,
669682,Morgan McSweeney,R,R,P,9,21,1997,Baltimore Orioles,,,,,,
669704,Kade Strowd,R,R,P,9,17,1997,Baltimore Orioles,44,40,,,,
669899,Ryan Ward,L,R,LF,2,23,1998,Los Angeles Dodgers,,,,,,
669993,Raul Brito,R,R,P,5,23,1997,San Diego Padres,39,35,,,,
670062,Julian Garcia,L,R,P,5,13,1995,Cincinnati Reds,,,,,,
670148,Nate Mondou,L,R,2B,3,24,1995,San Diego Padres,,,,,,
670231,John Rave,L,L,RF,12,30,1997,Kansas City Royals,25,37,,,,
670232,Ramón Rodríguez,R,R,C,10,30,1998,Milwaukee Brewers,,,,,,
670234,Seth Shuman,R,R,P,12,1,1997,Washington Nationals,,,,,,
670245,Ryan Watson,R,R,P,11,15,1997,San Francisco Giants,62,35,,,,
670250,Eli Wilson,R,R,C,7,6,1998,Pittsburgh Pirates,,,,,,
670329,Rico Garcia,R,R,P,1,10,1994,Washington Nationals,,,,,,
670391,Ben Anderson,R,R,P,5,2,1998,Texas Rangers,,,,,,
670810,Logan Gillaspie,R,R,P,4,17,1997,San Diego Padres,,,,,,
670871,Guillo Zuñiga,R,R,P,10,10,1998,Los Angeles Angels,,,,,,
670897,Daison Acosta,R,R,P,8,24,1998,Washington Nationals,54,35,,,,
671093,Kyle Whitten,R,R,P,9,22,1998,Tampa Bay Rays,,,,,,
671111,Sammy Peralta,L,L,P,5,10,1998,Seattle Mariners,,,,,,
671162,Connor Thomas,L,L,P,5,29,1998,St. Louis Cardinals,38,37,,,,
671169,Tommy Sheehan,L,L,P,6,17,1999,Chicago White Sox,,,,,,
671217,Sam Praytor,R,R,C,4,4,1999,Miami Marlins,,,,,,
671284,Tim Elko,R,R,1B,12,27,1998,Chicago White Sox,,,,,,
671382,Cameron Foster,R,R,P,3,17,1999,New York Mets,59,37,,,,
671600,Jaycob Deese,R,R,P,5,30,2000,Pittsburgh Pirates,,,,,,
671726,Marquis Grissom Jr.,R,R,P,7,19,2001,Washington Nationals,36,37,,,,
671748,Casey Yamauchi,R,R,SS,8,8,2000,Oakland Athletics,,,,,,
671925,Matt Coutney,L,R,1B,7,8,1999,Los Angeles Angels,,,,,,
671956,Noah Myers,L,R,OF,11,11,1999,Tampa Bay Rays,,,,,,
671969,Adam Tulloch,L,L,P,7,1,2000,Cleveland Guardians,,,,,,
672013,T.J. Schofield-Sam,L,R,3B,6,20,2001,Oakland Athletics,,,,,,
672021,Eric Cerantola,R,R,P,5,2,2000,Kansas City Royals,27,37,,,,
672380,Marco Jimenez,R,R,P,12,6,1999,Detroit Tigers,,,,,,
672463,Rafael Lantigua,R,R,2B,4,28,1998,Toronto Blue Jays,,,,,,
672537,Dalvy Rosario,R,R,OF,7,22,2000,Miami Marlins,,,,,,
672569,Gustavo Campero,S,R,RF,9,20,1997,Los Angeles Angels,53,35,,,,
672613,Eliezer Alfonzo,S,R,C,9,23,1999,Detroit Tigers,49,35,,,,
672620,Eduardo Herrera,S,R,P,1,5,2000,New York Mets,,,,,,
672642,Steward Berroa,S,R,RF,6,5,1999,Toronto Blue Jays,,,,,,
672696,Francisco Acuna,R,R,SS,1,12,2000,Pittsburgh Pirates,,,,,,
672712,Luis Palacios,L,L,P,7,1,2000,Miami Marlins,,,,,,
673394,Gabriel Yanez,L,L,P,7,22,1999,Minnesota Twins,,,,,,
673747,Edgar Sanchez,R,R,P,8,2,2000,Miami Marlins,,,,,,
673872,Bobby Milacki,R,R,P,11,6,1996,San Diego Padres,,,,,,
673929,Jordan Leasure,R,R,P,8,15,1998,Chicago White Sox,,,,,,
673945,Freuddy Batista,R,R,C,12,12,1999,Seattle Mariners,,,,,,
673965,Caleb Freeman,R,R,P,2,23,1998,Chicago White Sox,,,,,,
673990,Andy Thomas,L,R,C,6,17,1998,San Francisco Giants,,,,,,
674022,Jason Ruffcorn,R,R,P,7,27,1998,Seattle Mariners,,,,,,
674047,Travis Kuhn,R,R,P,5,20,1998,Seattle Mariners,,,,,,
674175,Houston Roth,R,R,P,3,9,1998,Baltimore Orioles,,,,,,
674285,Eduardo Salazar,R,R,P,5,5,1998,Seattle Mariners,,,,,,
674384,Eduarniel Núñez,R,R,P,6,7,1999,Chicago Cubs,30,37,16,40,,
674444,Steven Cruz,R,R,P,6,15,1999,Kansas City Royals,,,,,,
674841,Andrew Alvarez,L,L,P,6,13,1999,Washington Nationals,,,,,,
674868,Rodney Boone,L,L,P,4,9,2000,Cleveland Guardians,61,35,,,,
674944,Sean Guenther,L,L,P,12,29,1995,Detroit Tigers,,,,,,
674976,Griffin Lockwood-Powell,R,R,C,2,23,1998,Los Angeles Dodgers,,,,,,
675195,Juan Mercedes,R,R,P,4,3,2000,Seattle Mariners,,,,,,
675248,Spencer Bengard,R,R,P,4,19,2002,Minnesota Twins,,,,,,
675296,Hayden Merda,R,R,P,3,21,2000,New York Yankees,,,,,,
675375,Cory Lewis,R,R,P,10,9,2000,Minnesota Twins,63,35,,,,
675382,Andrew Sojka,L,R,OF,5,16,2001,St. Louis Cardinals,,,,,,
675394,Johnny Olmstead,R,R,3B,7,10,2000,Miami Marlins,72,35,,,,
675430,CJ Rodriguez,R,R,C,7,7,2000,Oakland Athletics,,,,,,
675502,Kelly Austin,R,R,P,12,17,2000,New York Yankees,,,,,,
675525,Anderson Bido,R,R,P,5,7,1999,Colorado Rockies,,,,,,
675781,Kyle Jones,L,R,P,2,7,2000,Minnesota Twins,,,,,,
675783,Easton Sikorski,R,R,P,1,12,2000,Cincinnati Reds,53,35,,,,
675848,Juan Mejia,R,R,P,7,4,2000,Colorado Rockies,,,,,,
675919,Nick Raquet,R,L,P,12,12,1995,St. Louis Cardinals,,,,,,
676012,Gerald Ogando,R,R,P,7,28,2000,Baltimore Orioles,62,37,,,,
676024,Donta' Williams,L,L,OF,6,30,1999,Baltimore Orioles,,,,,,
